Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Common Reference Period
Lithuania,946,"Furnishings, household equipment and routine household maintenance",PCPIHO_IX,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.97664917,69.003007,85.70626562,99.2369011,103.5187259,104.9632335,104.9537271,102.7735264,100.3987821,98.25554537,95.39075454,92.3507064,90.41409332,90.91934044,92.82828681,97.43684412,99.38347029,96.51177084,96.33507388,97.79089753,98.86276521,98.69140857,99.99993918,100.9467115,102.2104,,2015A
Lithuania,946,"Furnishings, household equipment and routine household maintenance",PCPIHO_IX,Reference Period,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,,
Lithuania,946,"Health, Percentage change, Previous year",PCPIM_PC_CP_A_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.2965318,19.90744242,11.57058442,7.939884312,2.029128532,-2.211998019,-3.340955727,-1.655434864,1.053410601,4.192190789,8.410383322,7.994752781,6.647239294,7.09510555,11.13995506,17.59546284,1.159217287,0.823658402,2.073810725,1.795227351,1.319998781,2.951812592,2.938441948,1.08808266,,
Lithuania,946,"Restaurants and hotels, Percentage change, Previous year",PCPIRE_PC_CP_A_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4777794,37.43343496,11.66771106,11.80757497,5.57758559,2.42486114,-0.035560534,1.746102414,1.396694167,0.343787091,1.685666499,3.37574164,4.206259436,9.175062474,16.08916092,7.05365838,-0.733833469,2.129700177,3.677391239,2.482408654,2.913520533,4.733454627,5.67639334,7.619509697,,
Lithuania,946,"Housing, Water, Electricity, Gas and Other Fuels, Percentage change, Previous period",PCPIH_PC_PP_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.3564564,61.81429872,26.51668408,17.19628559,15.99018283,6.09480026,12.31765444,2.221670146,2.734728861,0.308824827,0.650758332,4.962861362,6.844526865,11.48776875,19.26342165,11.55076639,4.731599094,8.258616667,6.172156889,0.543455053,-0.861440433,-4.774185364,-2.029073668,1.106255146,,
France,132,Miscellaneous goods and services,PCPIO_IX,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.75083333,62.66666667,64.4725,66.0125,67.11166667,67.79666667,69.04083333,69.89833333,70.5325,70.655,71.73833333,73.43666667,75.39583333,77.29333333,79.34083333,80.88916667,83.33416667,85.14916667,86.91333333,89.25,91.5375,93.86666667,96.30416667,97.82166667,98.81166667,100,101.0458333,102.15,,2015A
France,132,Miscellaneous goods and services,PCPIO_IX,Reference Period,,,,,,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,,
Lithuania,946,"Recreation and culture, Percentage change, Previous year",PCPIR_PC_CP_A_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.2059179,43.31277989,16.704836,4.983682209,2.74395802,1.753193824,-1.623258354,-1.426181373,-0.693228008,-2.615318299,-2.686854019,-0.600207881,1.29016893,0.091261823,1.452078961,1.376765944,-2.112965237,-1.495675125,0.78997384,1.085371143,0.430533163,2.94199523,5.491903272,3.001103974,,
Lithuania,946,"Education, Percentage change, Previous period",PCPIED_PC_PP_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.56118895,31.96514631,30.39110693,17.4408727,11.08222545,5.202423794,10.50475225,5.876867393,-0.742061716,-3.35616808,0.741517822,-0.533324732,-0.732406184,4.91298602,8.847664927,10.68874581,7.682868184,0.518575043,3.113869179,3.64229934,1.094233252,2.270572945,3.624271898,2.427494075,,
Lithuania,946,Communication,PCPIEC_IX,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.05364139,26.54155872,42.75881843,56.92922936,73.65288663,96.80551924,111.9462865,130.6074755,147.1430162,159.1202645,158.2922679,141.3991296,137.5388942,135.4774033,128.6859562,124.9773396,123.6928326,117.4504861,113.8613167,111.6402105,106.477557,99.74316143,99.99996692,96.1808001,95.63726667,,2015A
Lithuania,946,Communication,PCPIEC_IX,Reference Period,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,,
Lithuania,946,Recreation and culture,PCPIR_IX,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.06736948,56.70387323,81.26389703,94.83889775,99.56536703,102.2973989,104.0908706,102.4012068,100.9407799,100.2410301,97.61940813,94.99651714,94.42634056,95.64459986,95.73188687,97.12198946,98.45913193,96.3787247,94.93721209,95.68719123,96.72575239,97.14218883,100.0001074,105.4920166,108.6579417,,2015A
Lithuania,946,Recreation and culture,PCPIR_IX,Reference Period,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,2015A,,
Lithuania,946,"Furnishings, household equipment and routine household maintenance, Percentage change, Previous period",PCPIHO_PC_PP_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.38426688,24.20656627,15.78721857,4.314750597,1.395407089,-0.009056894,-2.077297092,-2.310657609,-2.13472382,-2.915653071,-3.18694213,-2.097020316,0.558814563,2.099604287,4.964604509,1.997833764,-2.889514172,-0.183083318,1.511208311,1.096081238,-0.173327779,1.325880973,0.946772926,1.251837183,,
Lithuania,946,"Education, Percentage change, Previous year",PCPIED_PC_CP_A_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.56118895,31.96514631,30.39110693,17.4408727,11.08222545,5.202423794,10.50475225,5.876867393,-0.742061716,-3.35616808,0.741517822,-0.533324732,-0.732406184,4.91298602,8.847664927,10.68874581,7.682868184,0.518575043,3.113869179,3.64229934,1.094233252,2.270572945,3.624271898,2.427494075,,
Brazil,223,"Consumer Price Index, All items, Percentage change, Previous period",PCPI_PC_PP_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.725073,100.5433592,135.0275156,192.1220033,225.989959,147.1426826,228.3362579,629.1131934,1430.72507,2947.73307,432.7866635,951.9620531,1927.38079,2075.888398,66.00703355,15.7576656,6.926712516,3.195076293,4.858447499,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636369353,5.403553391,6.204335948,6.329152227,9.029807186,8.7391283,3.446367832,,
Brazil,223,"Consumer Price Index, All items, Percentage change, Previous year",PCPI_PC_CP_A_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.725073,100.5433592,135.0275156,192.1220033,225.989959,147.1426826,228.3362579,629.1131934,1430.72507,2947.73307,432.7866635,951.9620531,1927.38079,2075.888398,66.00703355,15.7576656,6.926712516,3.195076293,4.858447499,7.044141059,6.840359025,8.450164377,14.71491972,6.5971851,6.869537209,4.183568129,3.641272991,5.678593903,4.888034799,5.038726901,6.636369353,5.403553391,6.204335948,6.329152227,9.029807186,8.7391283,3.446367832,,
Lithuania,946,"Transport, Percentage change, Previous year",PCPIT_PC_CP_A_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.42219783,36.48248242,18.5685697,12.29970336,4.304352345,8.114731628,9.310487029,-3.366876541,-1.17936372,1.971061365,4.835944432,7.7592836,6.424261135,2.919485245,11.83785757,-1.343643971,5.852599021,8.0725,4.131863641,-0.774035475,-2.016683708,-7.146744162,-3.840689415,5.102355132,,
Lithuania,946,"Miscellaneous goods and services, Percentage change, Previous period",PCPIO_PC_PP_PT,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.87802434,26.4025414,22.96154076,3.034772295,3.466524715,3.848251499,0.326810731,-0.525219678,-0.693351396,-1.644099718,3.881665061,-0.048725432,3.784009051,5.550454817,9.666359191,10.0252594,0.358371411,0.817500068,3.518098174,1.84434787,0.888315471,1.517368077,2.949064782,5.09251657,,
Lithuania,946,Miscellaneous goods and services,PCPIO_IX,Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.81177992,39.46053919,49.87912438,61.33213986,63.19343065,65.38404654,67.90018909,68.1220942,67.76430355,67.29445881,66.1880708,68.75727002,68.72376774,71.32428133,75.28310334,82.56023852,90.83711659,91.16265085,91.90790558,95.14131593,96.89605276,97.75679539,99.2401258,102.1667814,107.3696417,,2015A
