Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.54,-.38,-.26,-.37,-.11,-.22,-.23,-.24,-.26,-.32,-.37,-.48,-.32,***,***,-.25,-.23,-.32
1881,-.19,-.25,.02,-.02,-.06,-.36,-.06,-.02,-.23,-.40,-.42,-.28,-.19,-.21,-.31,-.02,-.15,-.35
1882,.23,.23,.01,-.36,-.32,-.38,-.37,-.13,-.16,-.52,-.32,-.41,-.21,-.20,.06,-.22,-.29,-.34
1883,-.59,-.67,-.16,-.27,-.32,-.25,-.09,-.26,-.34,-.21,-.40,-.25,-.32,-.33,-.56,-.25,-.20,-.32
1884,-.23,-.11,-.65,-.63,-.42,-.52,-.48,-.51,-.45,-.41,-.47,-.38,-.44,-.43,-.20,-.57,-.50,-.44
1885,-1.00,-.36,-.20,-.53,-.56,-.48,-.38,-.45,-.32,-.30,-.28,.01,-.40,-.44,-.58,-.43,-.43,-.30
1886,-.68,-.68,-.57,-.35,-.35,-.43,-.20,-.47,-.34,-.32,-.45,-.17,-.42,-.40,-.45,-.42,-.37,-.37
1887,-1.06,-.57,-.36,-.42,-.27,-.19,-.22,-.51,-.17,-.40,-.19,-.43,-.40,-.38,-.60,-.35,-.31,-.25
1888,-.52,-.58,-.57,-.24,-.15,-.04,.03,-.19,-.12,.03,-.03,-.26,-.22,-.24,-.51,-.32,-.07,-.04
1889,-.31,.34,.06,.14,-.05,-.13,-.10,-.17,-.26,-.34,-.61,-.55,-.17,-.14,-.08,.05,-.13,-.41
1890,-.65,-.56,-.44,-.37,-.49,-.21,-.24,-.38,-.41,-.08,-.69,-.44,-.41,-.42,-.59,-.43,-.28,-.39
1891,-.60,-.69,-.12,-.33,-.22,-.16,-.13,-.09,-.04,-.27,-.56,-.03,-.27,-.30,-.57,-.23,-.13,-.29
1892,-.45,-.16,-.56,-.48,-.28,-.12,-.38,-.29,-.13,-.22,-.81,-.65,-.38,-.33,-.21,-.44,-.26,-.39
1893,-1.47,-.89,-.28,-.30,-.44,-.22,-.13,-.34,-.22,-.23,-.25,-.63,-.45,-.45,-1.00,-.34,-.23,-.24
1894,-.87,-.43,-.20,-.59,-.34,-.48,-.24,-.22,-.26,-.24,-.47,-.31,-.39,-.41,-.64,-.38,-.31,-.32
1895,-.72,-.76,-.38,-.23,-.30,-.25,-.18,-.24,.02,-.04,-.05,-.24,-.28,-.29,-.60,-.30,-.22,-.02
1896,-.44,-.21,-.49,-.61,-.22,.01,-.02,-.07,-.05,.14,-.25,-.18,-.20,-.20,-.29,-.44,-.03,-.05
1897,-.37,-.34,-.38,-.05,.07,-.13,.00,-.09,-.03,-.13,-.26,-.28,-.17,-.16,-.30,-.12,-.07,-.14
1898,.03,-.45,-.77,-.30,-.31,-.11,-.14,-.16,-.16,-.35,-.45,-.26,-.29,-.29,-.23,-.46,-.14,-.32
1899,-.13,-.66,-.52,-.20,-.27,-.38,-.20,-.03,.00,.06,.38,-.48,-.20,-.19,-.35,-.33,-.21,.15
1900,-.60,-.06,.12,-.14,-.04,-.15,-.13,-.08,.03,.25,-.15,.00,-.08,-.12,-.38,-.02,-.12,.04
1901,-.34,.07,.35,.11,-.12,.03,.02,-.13,-.26,-.31,-.19,-.40,-.10,-.06,-.09,.12,-.03,-.25
1902,-.15,.13,-.37,-.39,-.44,-.43,-.32,-.30,-.32,-.30,-.49,-.64,-.34,-.32,-.14,-.40,-.35,-.37
1903,-.22,.20,-.14,-.46,-.48,-.51,-.45,-.59,-.47,-.47,-.43,-.55,-.38,-.39,-.22,-.36,-.52,-.46
1904,-.82,-.57,-.40,-.57,-.49,-.51,-.60,-.52,-.57,-.37,-.11,-.34,-.49,-.51,-.64,-.49,-.54,-.35
1905,-.50,-.80,-.23,-.47,-.33,-.32,-.24,-.24,-.14,-.25,.06,-.25,-.31,-.32,-.55,-.34,-.27,-.11
1906,-.54,-.57,-.17,.06,-.24,-.10,-.28,-.12,-.19,-.14,-.39,.03,-.22,-.24,-.45,-.12,-.17,-.24
1907,-.53,-.71,-.26,-.47,-.61,-.51,-.41,-.36,-.36,-.19,-.59,-.58,-.46,-.41,-.40,-.44,-.43,-.38
