Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.03,.03,.05,-.01,-.12,-.23,-.18,.07,-.04,-.14,-.02,.04,-.05,***,***,-.03,-.11,-.07
1881,-.10,-.09,.07,.10,.10,-.04,-.07,-.01,-.04,-.01,-.01,.07,.00,-.01,-.05,.09,-.04,-.02
1882,.07,.08,.08,-.01,.00,-.13,-.04,.04,-.02,.03,.00,-.08,.00,.01,.07,.02,-.04,.00
1883,-.04,-.10,-.09,-.06,-.07,.01,-.06,-.04,-.07,-.06,-.04,-.05,-.06,-.06,-.07,-.07,-.03,-.06
1884,-.07,-.04,-.09,-.22,-.31,-.29,-.22,-.03,-.10,-.08,-.12,-.17,-.15,-.14,-.06,-.21,-.18,-.10
1885,-.20,-.23,-.30,-.32,-.29,-.41,-.32,-.19,-.16,-.10,-.12,-.10,-.23,-.24,-.20,-.30,-.31,-.13
1886,-.17,-.24,-.21,-.21,-.17,-.34,-.23,-.21,-.17,-.25,-.18,-.34,-.23,-.21,-.17,-.20,-.26,-.20
1887,-.39,-.46,-.30,-.34,-.36,-.26,-.23,-.12,-.27,-.24,-.27,-.23,-.29,-.30,-.40,-.34,-.21,-.26
1888,-.22,-.13,-.25,-.20,-.28,-.32,-.21,-.11,-.06,.01,.06,.13,-.13,-.16,-.20,-.25,-.22,.00
1889,.08,.02,.09,.00,.01,-.14,-.09,-.22,-.17,-.11,-.05,-.04,-.05,-.04,.08,.03,-.15,-.11
1890,-.24,-.34,-.36,-.37,-.43,-.32,-.29,-.37,-.38,-.40,-.27,-.19,-.33,-.32,-.21,-.38,-.33,-.35
1891,-.24,-.26,-.25,-.23,-.15,-.25,-.27,-.23,-.24,-.16,-.13,-.05,-.21,-.22,-.23,-.21,-.25,-.18
1892,-.11,-.07,-.14,-.21,-.22,-.35,-.27,-.22,-.13,-.03,-.04,-.13,-.16,-.15,-.08,-.19,-.28,-.07
1893,-.14,-.20,-.18,-.30,-.29,-.35,-.19,-.20,-.19,-.10,-.08,-.06,-.19,-.20,-.16,-.25,-.25,-.12
1894,-.20,-.23,-.28,-.36,-.36,-.40,-.27,-.22,-.23,-.17,-.03,-.09,-.24,-.23,-.17,-.33,-.30,-.14
1895,-.16,-.08,-.19,-.25,-.23,-.22,-.16,-.07,-.18,-.11,-.22,-.07,-.16,-.16,-.11,-.22,-.15,-.17
1896,-.08,-.07,-.03,-.01,-.14,-.28,-.05,-.01,-.01,.10,.10,.12,-.03,-.04,-.07,-.06,-.11,.06
1897,.08,.05,.11,.01,-.16,-.19,-.12,-.12,-.11,-.11,-.12,-.10,-.07,-.05,.08,-.01,-.14,-.11
